Date,Open,High,Low,Close,Adj Close,Volume
18-Nov-21,"1,558.22","1,562.01","1,552.62","1,557.78","1,557.78","179,824,300"
17-Nov-21,"1,554.78","1,563.25","1,550.76","1,556.87","1,556.87","180,132,500"
16-Nov-21,"1,547.82","1,563.38","1,545.53","1,554.34","1,554.34","165,111,900"
15-Nov-21,"1,558.72","1,560.67","1,547.11","1,548.39","1,548.39","156,710,800"
12-Nov-21,"1,552.92","1,562.66","1,550.20","1,558.37","1,558.37","174,518,700"
11-Nov-21,"1,555.64","1,556.25","1,547.50","1,551.77","1,551.77","160,370,600"
10-Nov-21,"1,550.28","1,561.55","1,550.28","1,555.36","1,555.36","178,041,900"
9-Nov-21,"1,557.80","1,558.79","1,548.11","1,551.27","1,551.27","165,685,900"
8-Nov-21,"1,548.84","1,558.64","1,545.15","1,557.10","1,557.10","213,950,400"
5-Nov-21,"1,563.85","1,563.85","1,536.70","1,548.87","1,548.87","429,521,700"
4-Nov-21,"1,571.54","1,573.15","1,554.44","1,564.98","1,564.98","221,048,800"
3-Nov-21,"1,565.88","1,577.07","1,558.87","1,576.90","1,576.90","220,404,700"
2-Nov-21,"1,561.01","1,575.03","1,551.16","1,566.99","1,566.99","248,263,000"
1-Nov-21,"1,559.58","1,567.38","1,551.76","1,557.20","1,557.20","181,734,200"
29-Oct-21,"1,542.82","1,560.92","1,536.81","1,559.32","1,559.32","222,998,300"
28-Oct-21,"1,530.62","1,549.86","1,530.62","1,544.66","1,544.66","182,156,200"
27-Oct-21,"1,544.80","1,547.80","1,531.40","1,531.46","1,531.46","165,728,400"
26-Oct-21,"1,538.66","1,548.20","1,531.16","1,544.00","1,544.00","160,169,200"
25-Oct-21,"1,534.76","1,537.78","1,523.37","1,535.83","1,535.83","156,491,700"
22-Oct-21,"1,528.02","1,534.90","1,524.59","1,534.41","1,534.41","120,613,900"
21-Oct-21,"1,522.48","1,528.97","1,514.29","1,528.68","1,528.68","137,278,700"
20-Oct-21,"1,503.26","1,524.49","1,503.26","1,521.99","1,521.99","160,310,500"
19-Oct-21,"1,484.57","1,504.32","1,484.57","1,500.23","1,500.23","149,139,500"
18-Oct-21,"1,490.66","1,490.66","1,475.06","1,480.83","1,480.83","164,770,700"
15-Oct-21,"1,486.08","1,497.95","1,486.08","1,491.56","1,491.56","175,026,900"
14-Oct-21,"1,465.96","1,489.69","1,465.96","1,484.19","1,484.19","165,205,100"
13-Oct-21,"1,463.00","1,469.79","1,455.46","1,463.28","1,463.28","156,686,400"
12-Oct-21,"1,470.69","1,474.92","1,458.13","1,462.02","1,462.02","144,171,300"
11-Oct-21,"1,478.43","1,486.65","1,468.36","1,468.99","1,468.99","119,251,900"
8-Oct-21,"1,488.55","1,492.04","1,477.78","1,480.10","1,480.10","146,556,800"
7-Oct-21,"1,470.03","1,497.43","1,470.03","1,487.16","1,487.16","159,999,000"
6-Oct-21,"1,468.53","1,469.43","1,452.11","1,469.07","1,469.07","180,972,600"
5-Oct-21,"1,465.40","1,485.88","1,465.40","1,471.37","1,471.37","183,794,200"
4-Oct-21,"1,481.91","1,486.43","1,455.31","1,462.89","1,462.89","243,718,800"
1-Oct-21,"1,481.17","1,491.72","1,461.47","1,485.00","1,485.00","312,510,200"
30-Sep-21,"1,506.16","1,517.05","1,483.74","1,483.99","1,483.99","182,245,700"
29-Sep-21,"1,493.60","1,510.13","1,493.60","1,503.25","1,503.25","148,631,100"
28-Sep-21,"1,514.41","1,514.41","1,486.90","1,491.77","1,491.77","189,332,300"
27-Sep-21,"1,537.23","1,537.23","1,514.80","1,517.58","1,517.58","151,125,200"
24-Sep-21,"1,545.15","1,548.89","1,536.54","1,539.56","1,539.56","128,502,700"
23-Sep-21,"1,534.79","1,554.98","1,534.79","1,546.09","1,546.09","149,254,400"
22-Sep-21,"1,534.12","1,542.83","1,528.13","1,534.22","1,534.22","150,795,800"
21-Sep-21,"1,533.69","1,547.91","1,532.85","1,532.87","1,532.87","149,654,400"
20-Sep-21,"1,542.73","1,543.39","1,517.21","1,530.65","1,530.65","207,907,500"
17-Sep-21,"1,544.34","1,547.46","1,536.94","1,545.73","1,545.73","390,939,300"
16-Sep-21,"1,549.11","1,553.64","1,534.62","1,544.60","1,544.60","154,338,500"
15-Sep-21,"1,536.98","1,555.78","1,534.78","1,548.43","1,548.43","177,545,600"
14-Sep-21,"1,541.66","1,549.57","1,536.06","1,537.91","1,537.91","163,747,800"
13-Sep-21,"1,550.27","1,557.49","1,532.21","1,539.73","1,539.73","190,869,200"
10-Sep-21,"1,565.77","1,570.65","1,549.05","1,549.18","1,549.18","167,624,100"
9-Sep-21,"1,582.63","1,583.78","1,563.39","1,563.83","1,563.83","177,010,300"
8-Sep-21,"1,583.04","1,585.01","1,576.77","1,582.35","1,582.35","140,776,900"
7-Sep-21,"1,590.87","1,590.87","1,573.32","1,583.58","1,583.58","165,615,700"
3-Sep-21,"1,590.67","1,594.93","1,582.15","1,592.61","1,592.61","131,980,900"
2-Sep-21,"1,577.38","1,590.92","1,577.38","1,590.92","1,590.92","156,845,100"
1-Sep-21,"1,573.93","1,574.41","1,559.64","1,573.95","1,573.95","218,276,900"
31-Aug-21,"1,575.94","1,583.45","1,568.22","1,573.61","1,573.61","191,026,300"
30-Aug-21,"1,563.96","1,581.26","1,563.96","1,575.60","1,575.60","135,778,400"
27-Aug-21,"1,569.72","1,576.48","1,564.64","1,566.06","1,566.06","141,296,500"
26-Aug-21,"1,574.77","1,578.98","1,565.93","1,568.63","1,568.63","134,148,200"
25-Aug-21,"1,578.44","1,578.44","1,568.78","1,574.93","1,574.93","168,151,700"
24-Aug-21,"1,583.81","1,584.15","1,575.09","1,578.96","1,578.96","174,767,000"
23-Aug-21,"1,588.00","1,594.07","1,584.23","1,584.42","1,584.42","215,832,700"
20-Aug-21,"1,577.21","1,589.67","1,573.62","1,584.73","1,584.73","156,199,400"
19-Aug-21,"1,564.71","1,584.14","1,558.11","1,576.66","1,576.66","189,928,600"
18-Aug-21,"1,592.06","1,592.76","1,568.16","1,569.02","1,569.02","228,388,400"
17-Aug-21,"1,571.71","1,592.56","1,570.29","1,592.32","1,592.32","220,705,100"
16-Aug-21,"1,556.85","1,574.89","1,551.54","1,574.69","1,574.69","178,913,000"
13-Aug-21,"1,549.44","1,557.28","1,549.44","1,557.13","1,557.13","143,938,900"
12-Aug-21,"1,537.50","1,548.67","1,535.59","1,547.82","1,547.82","175,487,200"
11-Aug-21,"1,549.95","1,555.49","1,534.53","1,536.02","1,536.02","229,371,500"
10-Aug-21,"1,555.04","1,558.47","1,545.04","1,551.06","1,551.06","254,120,000"
9-Aug-21,"1,549.48","1,557.63","1,549.48","1,554.79","1,554.79","194,911,200"
6-Aug-21,"1,550.73","1,550.73","1,538.97","1,548.95","1,548.95","156,599,000"
5-Aug-21,"1,554.09","1,554.65","1,538.40","1,550.57","1,550.57","201,158,000"
4-Aug-21,"1,560.76","1,566.48","1,555.00","1,556.43","1,556.43","222,363,100"
3-Aug-21,"1,540.90","1,563.18","1,540.90","1,562.97","1,562.97","199,272,700"
2-Aug-21,"1,541.01","1,547.37","1,537.20","1,541.20","1,541.20","172,606,100"
30-Jul-21,"1,537.43","1,544.82","1,533.54","1,538.58","1,538.58","184,517,000"
29-Jul-21,"1,535.01","1,540.36","1,533.60","1,537.42","1,537.42","157,980,800"
28-Jul-21,"1,529.37","1,539.20","1,523.30","1,534.57","1,534.57","193,308,700"
27-Jul-21,"1,521.33","1,529.10","1,516.29","1,528.70","1,528.70","180,076,400"
26-Jul-21,"1,530.96","1,531.95","1,517.27","1,522.03","1,522.03","149,542,500"
23-Jul-21,"1,515.49","1,533.59","1,515.49","1,531.58","1,531.58","144,034,500"
22-Jul-21,"1,503.46","1,514.07","1,501.24","1,513.77","1,513.77","140,283,400"
21-Jul-21,"1,501.78","1,507.25","1,487.76","1,503.77","1,503.77","176,605,300"
20-Jul-21,"1,483.45","1,509.30","1,483.45","1,500.69","1,500.69","286,087,400"
19-Jul-21,"1,497.41","1,497.41","1,471.23","1,482.87","1,482.87","184,598,700"
16-Jul-21,"1,496.25","1,504.28","1,494.13","1,498.96","1,498.96","153,598,300"
15-Jul-21,"1,498.62","1,498.62","1,485.58","1,495.65","1,495.65","149,727,700"
14-Jul-21,"1,502.50","1,505.43","1,497.44","1,499.48","1,499.48","128,318,200"
13-Jul-21,"1,503.73","1,507.62","1,499.04","1,502.55","1,502.55","114,011,700"
12-Jul-21,"1,501.07","1,511.26","1,500.63","1,504.15","1,504.15","142,587,300"
9-Jul-21,"1,497.94","1,505.62","1,497.94","1,501.46","1,501.46","141,283,900"
8-Jul-21,"1,498.45","1,498.45","1,482.22","1,496.08","1,496.08","144,113,900"
7-Jul-21,"1,494.63","1,503.57","1,489.38","1,503.20","1,503.20","141,631,400"
6-Jul-21,"1,494.58","1,494.58","1,484.22","1,494.01","1,494.01","150,973,900"
2-Jul-21,"1,483.04","1,497.26","1,481.11","1,495.32","1,495.32","127,683,300"
1-Jul-21,"1,469.24","1,482.60","1,469.24","1,482.54","1,482.54","150,828,700"
30-Jun-21,"1,469.85","1,471.88","1,463.61","1,468.94","1,468.94","151,096,300"
29-Jun-21,"1,468.72","1,474.37","1,466.74","1,469.58","1,469.58","125,385,900"
28-Jun-21,"1,466.91","1,470.27","1,462.99","1,468.58","1,468.58","146,375,800"
25-Jun-21,"1,459.45","1,470.42","1,458.67","1,466.12","1,466.12","293,106,000"
24-Jun-21,"1,456.96","1,469.42","1,456.96","1,459.44","1,459.44","148,922,800"
23-Jun-21,"1,458.38","1,458.38","1,451.95","1,452.04","1,452.04","134,802,900"
22-Jun-21,"1,455.67","1,460.40","1,451.49","1,458.77","1,458.77","141,569,400"
21-Jun-21,"1,437.19","1,457.86","1,437.19","1,455.73","1,455.73","147,607,200"
18-Jun-21,"1,447.22","1,447.22","1,436.65","1,437.17","1,437.17","277,421,700"
17-Jun-21,"1,442.18","1,458.81","1,440.94","1,454.88","1,454.88","174,700,200"
16-Jun-21,"1,448.86","1,458.30","1,440.23","1,443.45","1,443.45","179,018,800"
15-Jun-21,"1,450.06","1,452.80","1,443.74","1,449.02","1,449.02","150,045,500"
14-Jun-21,"1,447.43","1,449.62","1,439.16","1,449.39","1,449.39","144,900,200"
11-Jun-21,"1,457.24","1,458.46","1,441.46","1,448.24","1,448.24","176,617,900"
10-Jun-21,"1,436.33","1,460.55","1,436.33","1,458.85","1,458.85","204,211,100"
9-Jun-21,"1,421.88","1,436.80","1,421.88","1,434.66","1,434.66","181,213,700"
8-Jun-21,"1,425.98","1,429.30","1,410.03","1,420.48","1,420.48","184,486,700"
7-Jun-21,"1,421.32","1,437.78","1,421.32","1,425.60","1,425.60","208,365,400"
4-Jun-21,"1,419.14","1,427.29","1,419.14","1,420.85","1,420.85","150,029,500"
3-Jun-21,"1,406.69","1,419.56","1,403.68","1,416.33","1,416.33","175,395,700"
2-Jun-21,"1,414.18","1,419.15","1,408.46","1,410.72","1,410.72","169,613,200"
